region,highway_ids,hospital_ids,mall_ids,park_ids,police_ids,school_ids,station_ids
11,"node/3458665, node/2258710645",,"node/264107390, node/264107691, node/270935057, node/317428329, node/2833168699, node/3933918769, node/4643369998, node/5090693670, node/5445582027, node/6399214625, node/6685670208, node/6917300939, node/8151600398, node/8818248357, node/11163899712",,node/12072629314,"node/315662044, node/6399214527, node/7103787101, node/10056883684, node/10131020818, node/10838386668, node/11093825947, node/11284990955",node/7003408582
12,,,"node/60796350, node/214312005, node/310146977, node/387456107, node/538159522, node/12566554506",,,node/12559166955,"node/5320293105, node/5320349308, node/5320349317, node/5326501680"
13,,,"node/1267432262, node/3427101092",node/2447291688,,node/2332655757,
14,"node/21489963, node/21542970, node/29657709, node/29659492, node/29659627, node/36531732, node/36531895, node/36532011, node/36532056, node/63555161, node/63555446, node/88576242, node/383283020, node/1381299231, node/1975505622",,"node/241246724, node/339530251, node/380312280, node/391013475, node/392512380, node/393536004, node/497250938, node/501616666, node/537074530, node/544651059, node/582753955, node/1064555104, node/1071837751, node/1125194004, node/1131532988, node/1387968035, node/1444959257, node/1689661489, node/1816234844, node/1962183135, node/1966025135, node/2084949463, node/2203975940, node/2410396937, node/2437943980, node/2767158186, node/2775117808, node/2799015801, node/2799258702, node/2799797419, node/2866702859, node/2997099263, node/3096244077, node/3098467663, node/3620992885, node/3741392546, node/3790920524, node/4320427326, node/4461076612, node/4483873691, node/5154126004, node/5379390971, node/5467645623, node/5811645254, node/5825318248, node/5986863973, node/6542536245, node/6621310461, node/6680665671, node/7553017339, node/7553017345, node/8040515388, node/8288458152, node/8568139850, node/9006835241, node/9018281184, node/9062393606, node/10918386575, node/11582798793, node/11612201947, node/11642275879, node/12371962590","node/560659879, node/1768239611, node/2378561750, node/2379216886, node/4017024021, node/9998098421, node/10704953188, node/10705559488, node/10705568365, node/12218989018",,"node/772339429, node/1293985615, node/1946334555, node/2526930692, node/5702957701, node/7103319722, node/7103519097, node/7103519112, node/7113185108, node/7113185109, node/8042972669, node/8043328772, node/8372728608, node/8372728609, node/9215038517, node/11170257637","node/55493312, node/55493345, node/55786835, node/56922357, node/56922363, node/60355167, node/70363937, node/88576501, node/249047471, node/5318480902, node/5319182778"
15,"node/1497793, node/1498116, node/1500224, node/1500294, node/1500324, node/1500355, node/1500367, node/1500382, node/1500416, node/3451579, node/3451596, node/3451686, node/3454742, node/18317258, node/18318860, node/18319127, node/20650409, node/20650422, node/20650453, node/20650536, node/20650541, node/20698655, node/20920958, node/20920970, node/20964490, node/21306147, node/21306173, node/21421595, node/21421611, node/21489772, node/21489804, node/21489845, node/21489854, node/21489874, node/21489888, node/21489900, node/21543012, node/21543026, node/21543044, node/21543046, node/21543052, node/21543058, node/21543088, node/25777951, node/25777955, node/29659528, node/29659601, node/29659606, node/29659801, node/29659889, node/32348038, node/32353778, node/32355221, node/32370814, node/32378001, node/32409985, node/32409991, node/32410781, node/32411523, node/32422360, node/32422661, node/32423231, node/32424693, node/32424747, node/32474271, node/32474298, node/32474339, node/32474480, node/32475202, node/32475485, node/33540581, node/33540609, node/37376712, node/38067020, node/39600150, node/249722104, node/249723726, node/249725516, node/257893676, node/259750092, node/259750118, node/266593509, node/315023679, node/315023792, node/319036030, node/319111582, node/319111720, node/319112962, node/319113003, node/319324472, node/379765447, node/583411836, node/934209528, node/934209546, node/1339099026, node/1368520331, node/1381245510, node/1564504387, node/1590264535, node/1590264561, node/1590280324, node/1591980078, node/1591980139, node/1592086855, node/1595684837, node/1754184665, node/2025468656, node/2026568138, node/2034931953, node/2038506816, node/2038506920, node/2043419022, node/2043419168, node/2295972054, node/3086358024, node/5960572545",,"node/271813303, node/302045060, node/302045073, node/302171973, node/302411295, node/357059431, node/367103951, node/372507286, node/380199493, node/380202725, node/387772003, node/387792400, node/421328735, node/431299397, node/436015841, node/436893990, node/437981048, node/495307176, node/495883888, node/551067778, node/561181501, node/582930392, node/615954940, node/678894444, node/683617071, node/797705352, node/837041042, node/848372388, node/848374004, node/968464560, node/1023701329, node/1291264958, node/1422601222, node/1422601336, node/1459289096, node/1491980930, node/1502222352, node/1508929939, node/1727149580, node/1727168611, node/1948589745, node/2132778188, node/2243470928, node/2354348584, node/2369253779, node/2541753704, node/2613031993, node/2698193303, node/2701467053, node/2702058047, node/2826512751, node/2840298401, node/2856601101, node/2908425808, node/2909423024, node/2916190281, node/2916217446, node/2926787703, node/2926805701, node/3016336373, node/3040164233, node/3237108605, node/3245334360, node/3302606183, node/3313337535, node/3318025983, node/3403738003, node/3445656550, node/3632330347, node/3648172014, node/3740787162, node/3767279731, node/3816467386, node/3864189065, node/4420814201, node/4460800873, node/4462701574, node/4462759877, node/4463416712, node/4602942588, node/4632633054, node/4869906504, node/4951853433, node/4968529411, node/5241595921, node/5262869935, node/5267154723, node/5973488567, node/6606279361, node/6606386786, node/6606419417, node/6606459482, node/6606558439, node/6815860555, node/6815860560, node/7076633776, node/7734505030, node/7745266374, node/7759217325, node/8024345886, node/8927797217, node/8974940223, node/9159058105, node/9353873624, node/9697406933, node/10289513559, node/10816749843, node/10910006403, node/11143641027, node/11774800150, node/12212047807, node/12250879245, node/12469089907","node/108447516, node/292767952, node/299290515, node/343288369, node/558715701, node/808902900, node/1224160700, node/2352947263, node/2358057793, node/2358057795, node/2448963439, node/4044386606, node/4444060471, node/4638577997, node/5278336636, node/5363808462, node/6591077792, node/6907441731, node/7775670083, node/8409384328, node/8898757570, node/10608661979, node/10924881881, node/11971023544, node/12063299514","node/1651064396, node/2337211981, node/6589766059, node/6597466072","node/712595018, node/2332638609, node/2334698868, node/2336690053, node/3740785317, node/4332034938, node/5413474408, node/7103798478, node/7108065615, node/7108092021, node/7108106148, node/7659648005, node/7725077141, node/8082789926, node/8590176815","node/32801162, node/32821254, node/32821255, node/39597711, node/290578819, node/318815908, node/379765486, node/1553099843, node/4875013046, node/5318484736, node/5318484741, node/5326530554, node/5326535707, node/7003408583, node/7003408584, node/7003427085, node/7003427087"
16,node/2261930321,,"node/400707903, node/410801728, node/691071779, node/3046668349, node/4253525773, node/6685669994, node/9525954007",,,node/2334639726,
17,,,"node/5440678721, node/6240360530, node/6662835635, node/11773643400",,,,
18,node/1553144380,,"node/267314474, node/267315345, node/775939140, node/895259355, node/3561927415, node/3698533565, node/6766650052, node/10236495200, node/11550138057",,node/267315461,,"node/34710076, node/5320067932, node/6997477908"
19,,node/12104080211,"node/254315320, node/281361618, node/281361734, node/371811938, node/372345333, node/519921378, node/823844709, node/1375337634, node/1471253919, node/4023857905, node/7781394310",,,node/2332655258,"node/26240972, node/34710078"
20,"node/2057182576, node/2057182695",,,,,,node/2707352285
21,"node/21421437, node/21426240, node/21426294, node/21436588, node/21436607, node/21436614, node/21436620, node/21436625, node/21489979, node/21490009, node/21490016, node/21490028, node/21490047, node/21490052, node/21490063, node/21490098, node/21542878, node/21542897, node/21542900, node/21542912, node/21542916, node/21542925, node/21542928, node/21542939, node/21542942, node/21542963, node/21554686, node/21554695, node/21554698, node/25644773, node/25644794, node/25644819, node/26240111, node/29657482, node/29657517, node/29657588, node/29657608, node/29657615, node/29657618, node/29657644, node/29657664, node/29657678, node/29657681, node/29657684, node/29657698, node/29657706, node/29657719, node/29657776, node/29657782, node/29658136, node/29658193, node/29658197, node/29658671, node/29658784, node/29658862, node/29658877, node/29659096, node/29659138, node/29659171, node/29659182, node/29659214, node/29659217, node/29659230, node/29659256, node/29659299, node/29659337, node/29659361, node/29659389, node/29659391, node/29659450, node/32567390, node/32974814, node/32974827, node/36170159, node/36170540, node/36171892, node/36171979, node/36191285, node/36191301, node/36191322, node/36191332, node/36191337, node/36191389, node/36191398, node/36191400, node/36191487, node/36191543, node/36191950, node/36191979, node/36192046, node/36532943, node/36533097, node/36533143, node/36533692, node/36533755, node/36533990, node/60408512, node/60408638, node/60408692, node/60408700, node/60408702, node/60408743, node/60408762, node/60408786, node/95619256, node/147147467, node/147147546, node/152562847, node/152571818, node/208636321, node/247951235, node/247951300, node/247951327, node/247951386, node/252358566, node/253345453, node/253346192, node/253354925, node/253355307, node/253356281, node/253357216, node/253359868, node/257902742, node/259741688, node/261681529, node/261690714, node/267079953, node/291600206, node/298543759, node/298543813, node/298553218, node/298553350, node/310322630, node/310322757, node/310322784, node/318268330, node/318268599, node/343008384, node/345861611, node/345944844, node/345949247, node/391883180, node/391895371, node/392151573, node/411401042, node/430845147, node/492013361, node/492013393, node/529353976, node/1381298321, node/1381324287, node/1541575300, node/1615037687, node/1630272797, node/1640077452, node/1889323368, node/1945506328, node/1975505551, node/2131495587, node/2131728888, node/2164826721, node/2244050240, node/2383882755, node/2383892888, node/3843529130, node/4467627671, node/4569824000, node/4698329903, node/6655405021, node/7467260189, node/7512508884, node/7512534365, node/7512548592, node/7512672595, node/7512672600, node/7895315460, node/9426717928",node/9924411225,"node/303207540, node/383551103, node/410375809, node/410376790, node/416130760, node/417232563, node/432772912, node/501985559, node/560196725, node/560196733, node/598103300, node/599896644, node/599896656, node/599897446, node/599897453, node/836325051, node/1421538657, node/1500853555, node/2266244980, node/2366714885, node/2704255396, node/2850469552, node/2901438692, node/3144748975, node/3283163145, node/3306493403, node/3306518480, node/3326486318, node/3435117534, node/3594694567, node/3594724685, node/3740334280, node/4228616955, node/4236615849, node/4368028495, node/4528951890, node/4535947650, node/5359367316, node/5368647056, node/5368656861, node/5473806721, node/5708784925, node/5709566322, node/5967846486, node/6332343076, node/6334392494, node/6341941400, node/6341947267, node/6347654890, node/6371265844, node/6373324122, node/6538318458, node/6538687892, node/6548307606, node/6554560739, node/6554593065, node/6554677046, node/6559074173, node/6562153132, node/6709004403, node/7099942514, node/7178328454, node/7195257538, node/7195302656, node/7195380403, node/7553522081, node/7553790776, node/7557332742, node/7571813650, node/7859245720, node/7881381264, node/8023696432, node/9512647975, node/9780603117, node/10087926795, node/10172428580, node/10820481470, node/10844951989, node/10845293439, node/10875495069, node/11582657744, node/11582725856, node/12512826096, node/12621409886","node/364931637, node/364934335, node/364941864, node/364944377, node/368144628, node/368150111, node/368368914, node/558715498, node/1985067732, node/1985067836, node/2345778394, node/2345778406, node/2434078800, node/4635796544, node/5276524656, node/5357974661, node/5357975614, node/5357976787, node/5368822667, node/5970427778, node/6984317119, node/8978506878, node/9078062124, node/9078102872, node/11737541958, node/12189223291","node/1112337224, node/1651064376, node/2337214598, node/4490585731, node/6548078845","node/599896648, node/4335948191, node/4367917910, node/5813870310, node/7102270359, node/7102270362, node/7102270363, node/7102270364, node/7102270365, node/7102270366, node/7103345347, node/7103345348, node/7431146528, node/7557124942, node/7857202612, node/8822745454, node/9657075420, node/10170308361","node/25991463, node/31940472, node/344495616, node/379605629, node/380191031, node/420561530, node/424028617, node/560192986, node/1120475783, node/1120480667, node/1120482031, node/1552935957, node/3503666885, node/4357782894, node/5061304513, node/5061304514, node/5262888213, node/5320359169, node/5321922638, node/5321922639, node/5321922640, node/5321964774, node/5321964779, node/5326476228, node/5326479603, node/5326487199, node/5409164979, node/6364801758, node/7002769043, node/7003408580"
22,,,"node/4625687051, node/6369148099",,node/144339301,"node/6416761331, node/7099001294, node/7102314752",
23,,,"node/527033465, node/1518406892, node/5120659721, node/9139127804",,,,
24,,,"node/308696835, node/534020592, node/828418092, node/5954609385, node/12560884956",,,,"node/280372903, node/5320293827"
