node_id,lat,lon
node/60948192,43.6347321,-79.4707586
node/63555161,43.7472146,-79.4161739
node/63555446,43.744646,-79.4202624
node/63726669,43.7616763,-79.3927643
node/63726835,43.7649555,-79.3804463
node/76477995,43.6189889,-79.6323496
node/76478001,43.6230719,-79.6391013
node/76478060,43.6254975,-79.6424082
node/76478070,43.6207307,-79.6384915
node/76478119,43.6231064,-79.6380117
node/76478134,43.6098217,-79.6345705
node/76478138,43.6046124,-79.6405435
node/76478142,43.5967657,-79.6484342
node/76478149,43.5798692,-79.6664979
node/76478418,43.5088387,-79.6877077
node/76484675,43.5832925,-79.6622958
node/88576242,43.8316847,-79.4357774
node/95619256,43.7534126,-79.6314725
node/95634273,43.6498197,-79.5646668
node/95634419,43.6185834,-79.5531761
node/95634459,43.6145552,-79.5492149
node/95634500,43.6320364,-79.5574937
node/95634608,43.611014,-79.5486041
node/139218119,43.8643443,-79.3749221
node/139221332,43.8781917,-79.3783141
node/139223909,43.8895584,-79.3815677
node/139232345,43.8956274,-79.3826332
node/147147467,43.6747933,-79.6966347
node/147147546,43.6626448,-79.6914569
node/152562847,43.7498021,-79.5293583
node/152571818,43.7549742,-79.5330128
node/202263930,43.6249827,-79.5549382
node/202278078,43.6487213,-79.5653226
node/208533377,43.6395218,-79.387793
node/208539709,43.6454458,-79.3727687
node/208636321,43.7273171,-79.456407
node/247951235,43.7117488,-79.5414247
node/247951300,43.711694,-79.5433853
node/247951327,43.7106061,-79.55014
node/247951386,43.7111231,-79.5539404
node/249710167,43.6515324,-79.5653372
node/249722104,43.772712,-79.2954732
node/249723726,43.7794109,-79.264425
node/249725516,43.7901618,-79.2235186
node/252358566,43.7603883,-79.6082225
node/253345453,43.693337,-79.5690394
node/253346192,43.6886296,-79.5710393
node/253354925,43.6968492,-79.5887643
node/253355307,43.6968584,-79.5921788
node/253356281,43.6916679,-79.611502
node/253357216,43.6857401,-79.6003493
node/253359868,43.7209844,-79.6749886
node/257893676,43.7838834,-79.2426523
node/257902742,43.7385132,-79.6572577
node/259741688,43.7905497,-79.5044021
node/259750092,43.7789068,-79.3411888
node/259750118,43.7764597,-79.3376979
node/261681529,43.7238717,-79.4470136
node/261690714,43.7267097,-79.4592913
node/266593509,43.8127585,-79.1199303
node/267079953,43.7148503,-79.5307636
node/280212163,43.5024855,-79.6785696
node/280217900,43.5517106,-79.6150284
node/280218009,43.5509523,-79.6181446
node/291600206,43.6782089,-79.6944862
node/298543759,43.7178587,-79.6181982
node/298543813,43.7229742,-79.622942
node/298553218,43.7391976,-79.6285591
node/298553350,43.7296963,-79.6260474
node/301331368,43.640523,-79.5616419
node/301331557,43.6399644,-79.5605353
node/310322630,43.6575981,-79.6847567
node/310322757,43.6676388,-79.6988598
node/310322784,43.6627319,-79.6939153
node/313081854,43.5287654,-79.643115
node/313082415,43.5207245,-79.6515533
node/315023679,43.8436291,-79.3373563
node/315023792,43.8468876,-79.3230009
node/317606110,43.5151617,-79.6993147
node/318268330,43.6557228,-79.6196056
node/318268599,43.662506,-79.6081362
node/319036030,43.8653197,-79.2527758
node/319111582,43.8687723,-79.2400129
node/319111720,43.872086,-79.2266167
node/319112962,43.8576265,-79.2751607
node/319113003,43.8547787,-79.2874313
node/319324472,43.8945398,-79.1826807
node/319968069,43.5060912,-79.6675189
node/319968521,43.5133783,-79.6600149
node/320103688,43.5811072,-79.5856401
node/320103709,43.586011,-79.5805825
node/320104051,43.5649251,-79.6032352
node/343008384,43.7151205,-79.5278601
node/345861611,43.6931015,-79.6106263
node/345944844,43.6854069,-79.6074381
node/345949247,43.6858272,-79.6039134
node/375313672,43.5715152,-79.5965313
node/379765447,43.8331793,-79.0836211
node/380612644,43.6426375,-79.5616508
node/383283020,43.8376173,-79.4208171
node/386132318,43.6507641,-79.5662283
node/391883180,43.7716325,-79.5758099
node/391895371,43.7769469,-79.5636375
node/392151573,43.833177,-79.546932
node/411401042,43.6972221,-79.6076898
node/420888042,43.6303493,-79.647215
node/430845147,43.7594594,-79.53204
node/492013361,43.6825561,-79.6925985
node/492013393,43.6925547,-79.6885052
node/520873732,43.6008506,-79.5644642
node/529353976,43.7061881,-79.5560452
node/583411836,43.853129,-79.0216345
node/696644460,43.6170351,-79.529863
node/934209528,43.8761158,-79.2076018
node/934209546,43.8733044,-79.2191661
node/1339099026,43.7232764,-79.3321453
node/1368520331,43.7735156,-79.3395646
node/1381245510,43.7230565,-79.3283633
node/1381298321,43.7288147,-79.4490998
node/1381299231,43.7359125,-79.4345649
node/1381324287,43.714794,-79.5283086
node/1385397925,43.6224869,-79.6341663
node/1385397985,43.6341979,-79.6513871
node/1433175168,43.5504698,-79.6164916
node/1463159828,43.6333134,-79.6769502
node/1463159831,43.6349419,-79.6729306
node/1541575300,43.6673261,-79.5937519
node/1546658908,43.6279923,-79.5548059
node/1553144380,43.6421672,-79.3797671
node/1564504387,43.7367686,-79.3319634
node/1566762724,43.8293668,-79.3642642
node/1576439742,43.6358414,-79.669415
node/1590264535,43.7584741,-79.3338138
node/1590264561,43.7643346,-79.3367429
node/1590280324,43.7626328,-79.3366445
node/1590306772,43.8482159,-79.3714357
node/1590306846,43.8402703,-79.3684616
node/1591980078,43.7813256,-79.3407965
node/1591980139,43.8158958,-79.358077
node/1592086855,43.7757536,-79.3394044
node/1595684837,43.7372537,-79.3322348
node/1615037687,43.7082113,-79.614465
node/1630272797,43.7198403,-79.5214875
node/1640077452,43.8797048,-79.5564823
node/1754065107,43.7656858,-79.3704472
node/1754184665,43.8865857,-79.1892682
node/1889323368,43.6865215,-79.6121741
node/1945506328,43.7951283,-79.4902572
node/1975505551,43.8107802,-79.4796711
node/1975505622,43.8223526,-79.4712146
node/2025468656,43.7579808,-79.3357683
node/2026568138,43.7413302,-79.3322728
node/2034931953,43.7406403,-79.3320843
node/2038506816,43.7206179,-79.3291998
node/2038506920,43.7292606,-79.3307278
node/2043419022,43.7006454,-79.3366031
node/2043419168,43.7017936,-79.3341355
node/2057182576,43.6791396,-79.3674251
node/2057182695,43.6784024,-79.3685698
node/2131495587,43.6762208,-79.5925032
node/2131728888,43.695695,-79.6093154
node/2164826721,43.6661701,-79.6949126
node/2244050240,43.8899534,-79.5587457
node/2258710645,43.6535571,-79.3491808
node/2261930321,43.6602964,-79.354674
node/2295972054,43.6831643,-79.3619059
node/2383882755,43.6697074,-79.5880629
node/2383892888,43.6741113,-79.5685569
node/2714580471,43.6273662,-79.6909409
node/2771660436,43.6356481,-79.4691291
node/3086358024,43.7992995,-79.3447591
node/3171159581,43.6280979,-79.6857933
node/3843529130,43.7656861,-79.6331365
node/4467627671,43.6844717,-79.6056142
node/4569824000,43.86542,-79.5531241
node/4698329903,43.8213157,-79.6563559
node/4742998892,43.5038218,-79.6704517
node/5764710138,43.6491579,-79.6732199
node/5960572545,43.6841146,-79.3616299
node/6655405021,43.6967463,-79.6084706
node/7467260189,43.82276,-79.545661
node/7512508884,43.8019992,-79.6407402
node/7512534365,43.8111495,-79.6508945
node/7512548592,43.7957472,-79.6390386
node/7512672595,43.7848557,-79.6365406
node/7512672600,43.7751662,-79.6351139
node/7895315460,43.7740326,-79.535135
node/9426717928,43.656447,-79.6842403
